Year,Landings,State,Fishery
1932,0,CA,Trawl
1933,0,CA,Trawl
1934,0,CA,Trawl
1935,0,CA,Trawl
1936,0,CA,Trawl
1937,0,CA,Trawl
1938,0,CA,Trawl
1939,0,CA,Trawl
1940,0,CA,Trawl
1941,0,CA,Trawl
1942,0,CA,Trawl
1943,0,CA,Trawl
1944,0,CA,Trawl
1945,0,CA,Trawl
1946,0,CA,Trawl
1947,0,CA,Trawl
1948,0,CA,Trawl
1949,0,CA,Trawl
1950,0,CA,Trawl
1951,0,CA,Trawl
1952,0,CA,Trawl
1953,0,CA,Trawl
1954,0,CA,Trawl
1955,0,CA,Trawl
1956,0,CA,Trawl
1957,0,CA,Trawl
1958,0,CA,Trawl
1959,0,CA,Trawl
1960,0,CA,Trawl
1961,0,CA,Trawl
1962,0,CA,Trawl
1963,0,CA,Trawl
1964,0,CA,Trawl
1965,0,CA,Trawl
1966,0,CA,Trawl
1967,0,CA,Trawl
1968,0,CA,Trawl
1969,0,CA,Trawl
1970,0,CA,Trawl
1971,0,CA,Trawl
1972,0,CA,Trawl
1973,0,CA,Trawl
1974,0,CA,Trawl
1975,0,CA,Trawl
1976,0,CA,Trawl
1977,0,CA,Trawl
1978,0,CA,Trawl
1979,0,CA,Trawl
1980,0,CA,Trawl
1981,0,CA,Trawl
1982,0,CA,Trawl
1983,0,CA,Trawl
1984,0,CA,Trawl
1985,0.043090912,CA,Trawl
1986,0.110524993,CA,Trawl
1987,0.959444977,CA,Trawl
1988,0,CA,Trawl
1989,0.495276012,CA,Trawl
1990,2.424337459,CA,Trawl
1991,1.2439265,CA,Trawl
1992,1.739429445,CA,Trawl
1993,0,CA,Trawl
1994,6.514298125,CA,Trawl
1995,4.760898443,CA,Trawl
1996,1.805196891,CA,Trawl
1997,0.210234711,CA,Trawl
1998,0.792537455,CA,Trawl
1999,0,CA,Trawl
2000,2.350021361,CA,Trawl
2001,0.371736502,CA,Trawl
2002,0.401714648,CA,Trawl
2003,0.713354322,CA,Trawl
2004,0.07735528,CA,Trawl
2005,0.046336502,CA,Trawl
2006,0.075242991,CA,Trawl
2007,0.563182011,CA,Trawl
2008,0.395148445,CA,Trawl
2009,0.29621886,CA,Trawl
2010,0.165953845,CA,Trawl
2011,0.203809167,CA,Trawl
2012,0.496604453,CA,Trawl
2013,0.958384796,CA,Trawl
2014,0.319652576,CA,Trawl
2015,0.297761846,CA,Trawl
2016,0.164119744,CA,Trawl
2017,0.26085317,CA,Trawl
2018,0.570280641,CA,Trawl
2019,0.616172939,CA,Trawl
2020,0.096125295,CA,Trawl
2021,0.379199049,CA,Trawl
2022,0.269471063,CA,Trawl
2023,0.049895161,CA,Trawl
2024,0.140160042,CA,Trawl
1932,0.0044,OR,Trawl
1933,0.0027,OR,Trawl
1934,0.0001,OR,Trawl
1935,0.0021,OR,Trawl
1936,0.0078,OR,Trawl
1937,0.0153,OR,Trawl
1938,0,OR,Trawl
1939,0.0217,OR,Trawl
1940,0.4996,OR,Trawl
1941,0.7692,OR,Trawl
1942,1.4406,OR,Trawl
1943,5.0168,OR,Trawl
1944,8.8042,OR,Trawl
1945,13.6696,OR,Trawl
1946,8.4299,OR,Trawl
1947,5.2291,OR,Trawl
1948,3.467,OR,Trawl
1949,3.2362,OR,Trawl
1950,3.7959,OR,Trawl
1951,3.5316,OR,Trawl
1952,4.6591,OR,Trawl
1953,3.4042,OR,Trawl
1954,4.4736,OR,Trawl
1955,4.182,OR,Trawl
1956,5.9259,OR,Trawl
1957,7.1579,OR,Trawl
1958,5.5743,OR,Trawl
1959,5.3701,OR,Trawl
1960,6.9623,OR,Trawl
1961,7.06,OR,Trawl
1962,8.4177,OR,Trawl
1963,5.792,OR,Trawl
1964,5.5027,OR,Trawl
1965,16.7603,OR,Trawl
1966,7.3883,OR,Trawl
1967,6.6631,OR,Trawl
1968,4.4793,OR,Trawl
1969,8.6727,OR,Trawl
1970,0.4868,OR,Trawl
1971,10.8684,OR,Trawl
1972,5.6196,OR,Trawl
1973,2.6336,OR,Trawl
1974,1.9345,OR,Trawl
1975,3.5489,OR,Trawl
1976,0.4768,OR,Trawl
1977,0.4293,OR,Trawl
1978,27.6395,OR,Trawl
1979,15.88,OR,Trawl
1980,29.843,OR,Trawl
1981,44.9783,OR,Trawl
1982,51.9528,OR,Trawl
1983,44.2713,OR,Trawl
1984,44.9286,OR,Trawl
1985,95.8038,OR,Trawl
1986,136.7589,OR,Trawl
1987,131.8115,OR,Trawl
1988,143.655,OR,Trawl
1989,240.1173,OR,Trawl
1990,154.2554,OR,Trawl
1991,213.0411,OR,Trawl
1992,155.2334,OR,Trawl
1993,163.5708,OR,Trawl
1994,114.6172,OR,Trawl
1995,112.9187,OR,Trawl
1996,96.8763,OR,Trawl
1997,70.6753,OR,Trawl
1998,88.732,OR,Trawl
1999,59.9007,OR,Trawl
2000,57.3521,OR,Trawl
2001,63.7401,OR,Trawl
2002,21.9453,OR,Trawl
2003,47.1625,OR,Trawl
2004,50.5565,OR,Trawl
2005,38.4493,OR,Trawl
2006,34.9771,OR,Trawl
2007,49.5354,OR,Trawl
2008,45.2955,OR,Trawl
2009,51.4524,OR,Trawl
2010,65.2472,OR,Trawl
2011,45.7493,OR,Trawl
2012,74.1851,OR,Trawl
2013,56.9467,OR,Trawl
2014,28.4941,OR,Trawl
2015,41.5162,OR,Trawl
2016,39.2144,OR,Trawl
2017,20.757,OR,Trawl
2018,16.0131,OR,Trawl
2019,25.1267,OR,Trawl
2020,22.2638,OR,Trawl
2021,19.601,OR,Trawl
2022,17.4738,OR,Trawl
2023,25.8828,OR,Trawl
2024,48.33789234,OR,Trawl
1932,0,WA,Trawl
1933,0,WA,Trawl
1934,0.01,WA,Trawl
1935,0.29,WA,Trawl
1936,0.48,WA,Trawl
1937,0.4,WA,Trawl
1938,0.46,WA,Trawl
1939,0.43,WA,Trawl
1940,0.42,WA,Trawl
1941,0.62,WA,Trawl
1942,0.86,WA,Trawl
1943,2.37,WA,Trawl
1944,3.35,WA,Trawl
1945,6.62,WA,Trawl
1946,2.4,WA,Trawl
1947,1.25,WA,Trawl
1948,2.04,WA,Trawl
1949,2.38,WA,Trawl
1950,2.28,WA,Trawl
1951,1.87,WA,Trawl
1952,2.24,WA,Trawl
1953,1.94,WA,Trawl
1954,3.97,WA,Trawl
1955,3.43,WA,Trawl
1956,3.29,WA,Trawl
1957,4.46,WA,Trawl
1958,5.02,WA,Trawl
1959,2.74,WA,Trawl
1960,4.85,WA,Trawl
1961,6.14,WA,Trawl
1962,5.81,WA,Trawl
1963,4.74,WA,Trawl
1964,5.93,WA,Trawl
1965,2.18,WA,Trawl
1966,15.38,WA,Trawl
1967,7.02,WA,Trawl
1968,23.72,WA,Trawl
1969,1.1,WA,Trawl
1970,0.1,WA,Trawl
1971,3.2,WA,Trawl
1972,0,WA,Trawl
1973,2.8,WA,Trawl
1974,0,WA,Trawl
1975,2,WA,Trawl
1976,6.6,WA,Trawl
1977,0.3,WA,Trawl
1978,5.7,WA,Trawl
1979,96.6,WA,Trawl
1980,28.3,WA,Trawl
1981,15.87145089,WA,Trawl
1982,42.49285268,WA,Trawl
1983,10.26701639,WA,Trawl
1984,28.48726839,WA,Trawl
1985,40.93095683,WA,Trawl
1986,16.32213103,WA,Trawl
1987,64.91924932,WA,Trawl
1988,24.8703564,WA,Trawl
1989,44.20366708,WA,Trawl
1990,10.17273095,WA,Trawl
1991,18.67211187,WA,Trawl
1992,26.79435183,WA,Trawl
1993,2.457626149,WA,Trawl
1994,5.316287461,WA,Trawl
1995,42.85401961,WA,Trawl
1996,24.79427533,WA,Trawl
1997,33.53951496,WA,Trawl
1998,17.22231545,WA,Trawl
1999,18.69142327,WA,Trawl
2000,23.42181883,WA,Trawl
2001,11.52963263,WA,Trawl
2002,8.566995743,WA,Trawl
2003,9.957924681,WA,Trawl
2004,8.598449017,WA,Trawl
2005,7.144490924,WA,Trawl
2006,12.8041347,WA,Trawl
2007,12.171401,WA,Trawl
2008,9.471072041,WA,Trawl
2009,16.73413775,WA,Trawl
2010,18.74099573,WA,Trawl
2011,11.17231268,WA,Trawl
2012,21.46893946,WA,Trawl
2013,8.560901221,WA,Trawl
2014,8.891550079,WA,Trawl
2015,8.12031993,WA,Trawl
2016,6.935945799,WA,Trawl
2017,3.393193253,WA,Trawl
2018,2.478480013,WA,Trawl
2019,5.564728897,WA,Trawl
2020,16.41832923,WA,Trawl
2021,11.74024868,WA,Trawl
2022,12.42317608,WA,Trawl
2023,13.57654894,WA,Trawl
2024,26.71262613,WA,Trawl
1932,0,Foreign,Trawl
1933,0,Foreign,Trawl
1934,0,Foreign,Trawl
1935,0,Foreign,Trawl
1936,0,Foreign,Trawl
1937,0,Foreign,Trawl
1938,0,Foreign,Trawl
1939,0,Foreign,Trawl
1940,0,Foreign,Trawl
1941,0,Foreign,Trawl
1942,0,Foreign,Trawl
1943,0,Foreign,Trawl
1944,0,Foreign,Trawl
1945,0,Foreign,Trawl
1946,0,Foreign,Trawl
1947,0,Foreign,Trawl
1948,0,Foreign,Trawl
1949,0,Foreign,Trawl
1950,0,Foreign,Trawl
1951,0,Foreign,Trawl
1952,0,Foreign,Trawl
1953,0,Foreign,Trawl
1954,0,Foreign,Trawl
1955,0,Foreign,Trawl
1956,0,Foreign,Trawl
1957,0,Foreign,Trawl
1958,0,Foreign,Trawl
1959,0,Foreign,Trawl
1960,0,Foreign,Trawl
1961,0,Foreign,Trawl
1962,0,Foreign,Trawl
1963,0,Foreign,Trawl
1964,0,Foreign,Trawl
1965,0,Foreign,Trawl
1966,98,Foreign,Trawl
1967,85,Foreign,Trawl
1968,47,Foreign,Trawl
1969,15,Foreign,Trawl
1970,17,Foreign,Trawl
1971,49,Foreign,Trawl
1972,68,Foreign,Trawl
1973,63,Foreign,Trawl
1974,45,Foreign,Trawl
1975,27,Foreign,Trawl
1976,12,Foreign,Trawl
1977,0,Foreign,Trawl
1978,0,Foreign,Trawl
1979,0,Foreign,Trawl
1980,0,Foreign,Trawl
1981,0,Foreign,Trawl
1982,0,Foreign,Trawl
1983,0,Foreign,Trawl
1984,0,Foreign,Trawl
1985,0,Foreign,Trawl
1986,0,Foreign,Trawl
1987,0,Foreign,Trawl
1988,0,Foreign,Trawl
1989,0,Foreign,Trawl
1990,0,Foreign,Trawl
1991,0,Foreign,Trawl
1992,0,Foreign,Trawl
1993,0,Foreign,Trawl
1994,0,Foreign,Trawl
1995,0,Foreign,Trawl
1996,0,Foreign,Trawl
1997,0,Foreign,Trawl
1998,0,Foreign,Trawl
1999,0,Foreign,Trawl
2000,0,Foreign,Trawl
2001,0,Foreign,Trawl
2002,0,Foreign,Trawl
2003,0,Foreign,Trawl
2004,0,Foreign,Trawl
2005,0,Foreign,Trawl
2006,0,Foreign,Trawl
2007,0,Foreign,Trawl
2008,0,Foreign,Trawl
2009,0,Foreign,Trawl
2010,0,Foreign,Trawl
2011,0,Foreign,Trawl
2012,0,Foreign,Trawl
2013,0,Foreign,Trawl
2014,0,Foreign,Trawl
2015,0,Foreign,Trawl
2016,0,Foreign,Trawl
2017,0,Foreign,Trawl
2018,0,Foreign,Trawl
2019,0,Foreign,Trawl
2020,0,Foreign,Trawl
2021,0,Foreign,Trawl
2022,0,Foreign,Trawl
2023,0,Foreign,Trawl
2024,0,Foreign,Trawl
1892,0,CA,Non-trawl
1893,0,CA,Non-trawl
1894,0,CA,Non-trawl
1895,0,CA,Non-trawl
1896,0,CA,Non-trawl
1897,0,CA,Non-trawl
1898,0,CA,Non-trawl
1899,0,CA,Non-trawl
1900,0,CA,Non-trawl
1901,0,CA,Non-trawl
1902,0,CA,Non-trawl
1903,0,CA,Non-trawl
1904,0,CA,Non-trawl
1905,0,CA,Non-trawl
1906,0,CA,Non-trawl
1907,0,CA,Non-trawl
1908,0,CA,Non-trawl
1909,0,CA,Non-trawl
1910,0,CA,Non-trawl
1911,0,CA,Non-trawl
1912,0,CA,Non-trawl
1913,0,CA,Non-trawl
1914,0,CA,Non-trawl
1915,0,CA,Non-trawl
1916,0.08845044,CA,Non-trawl
1917,0.14288148,CA,Non-trawl
1918,0.130634496,CA,Non-trawl
1919,0.078017824,CA,Non-trawl
1920,0.084821704,CA,Non-trawl
1921,0.073935496,CA,Non-trawl
1922,0.073028312,CA,Non-trawl
1923,0.09752228,CA,Non-trawl
1924,0.130634496,CA,Non-trawl
1925,0.143335072,CA,Non-trawl
1926,0.178261656,CA,Non-trawl
1927,0.147870992,CA,Non-trawl
1928,0.126098576,CA,Non-trawl
1929,0.127459352,CA,Non-trawl
1930,0.129727312,CA,Non-trawl
1931,0.027669112,CA,Non-trawl
1932,0.23586784,CA,Non-trawl
1933,0.025854744,CA,Non-trawl
1934,0.12246984,CA,Non-trawl
1935,0.140159928,CA,Non-trawl
1936,0.166921856,CA,Non-trawl
1937,0.098429464,CA,Non-trawl
1938,0.053977448,CA,Non-trawl
1939,0.04989512,CA,Non-trawl
1940,0.060781328,CA,Non-trawl
1941,0.067131616,CA,Non-trawl
1942,0.032658624,CA,Non-trawl
1943,0.024493968,CA,Non-trawl
1944,0.02041164,CA,Non-trawl
1945,0.037648136,CA,Non-trawl
1946,0.044452016,CA,Non-trawl
1947,0.023586784,CA,Non-trawl
1948,0.02721552,CA,Non-trawl
1949,0.033565808,CA,Non-trawl
1950,0.078017824,CA,Non-trawl
1951,0.045812792,CA,Non-trawl
1952,0.03855532,CA,Non-trawl
1953,0.01587572,CA,Non-trawl
1954,0.02721552,CA,Non-trawl
1955,0.052616672,CA,Non-trawl
1956,0.055338224,CA,Non-trawl
1957,0.06350288,CA,Non-trawl
1958,0.042637648,CA,Non-trawl
1959,0.01587572,CA,Non-trawl
1960,0.025401152,CA,Non-trawl
1961,0.025854744,CA,Non-trawl
1962,0.02494756,CA,Non-trawl
1963,0.038101728,CA,Non-trawl
1964,0.02494756,CA,Non-trawl
1965,0.025854744,CA,Non-trawl
1966,0.023586784,CA,Non-trawl
1967,0.03175144,CA,Non-trawl
1968,0.030844256,CA,Non-trawl
1969,0,CA,Non-trawl
1970,0,CA,Non-trawl
1971,0,CA,Non-trawl
1972,0,CA,Non-trawl
1973,0,CA,Non-trawl
1974,0,CA,Non-trawl
1975,0,CA,Non-trawl
1976,0,CA,Non-trawl
1977,0,CA,Non-trawl
1978,0,CA,Non-trawl
1979,0,CA,Non-trawl
1980,0,CA,Non-trawl
1981,1.992898177,CA,Non-trawl
1982,0,CA,Non-trawl
1983,0,CA,Non-trawl
1984,0,CA,Non-trawl
1985,0.000791065,CA,Non-trawl
1986,0.096839068,CA,Non-trawl
1987,9.00596865,CA,Non-trawl
1988,0,CA,Non-trawl
1989,0.13578469,CA,Non-trawl
1990,0.384437632,CA,Non-trawl
1991,4.98952E-06,CA,Non-trawl
1992,1.072316858,CA,Non-trawl
1993,0,CA,Non-trawl
1994,6.965413564,CA,Non-trawl
1995,1.112490672,CA,Non-trawl
1996,0.762376465,CA,Non-trawl
1997,0.329027423,CA,Non-trawl
1998,0.995407232,CA,Non-trawl
1999,0,CA,Non-trawl
2000,0.972345114,CA,Non-trawl
2001,2.473827698,CA,Non-trawl
2002,0.555038576,CA,Non-trawl
2003,1.25289482,CA,Non-trawl
2004,0,CA,Non-trawl
2005,3.123498297,CA,Non-trawl
2006,1.848584498,CA,Non-trawl
2007,3.107658943,CA,Non-trawl
2008,1.06303418,CA,Non-trawl
2009,5.232810126,CA,Non-trawl
2010,1.788818397,CA,Non-trawl
2011,2.016745975,CA,Non-trawl
2012,5.451372925,CA,Non-trawl
2013,3.387491416,CA,Non-trawl
2014,2.518380992,CA,Non-trawl
2015,1.210115743,CA,Non-trawl
2016,2.986657136,CA,Non-trawl
2017,0.012246994,CA,Non-trawl
2018,0.316076114,CA,Non-trawl
2019,0.759585783,CA,Non-trawl
2020,1.029198941,CA,Non-trawl
2021,0.78652917,CA,Non-trawl
2022,1.216081145,CA,Non-trawl
2023,4.741793097,CA,Non-trawl
2024,2.498895253,CA,Non-trawl
1892,19.2555,OR,Non-trawl
1893,19.2555,OR,Non-trawl
1894,19.2555,OR,Non-trawl
1895,4.9513,OR,Non-trawl
1896,1.1921,OR,Non-trawl
1897,1.2148,OR,Non-trawl
1898,0.6878,OR,Non-trawl
1899,1.1631,OR,Non-trawl
1900,1.6385,OR,Non-trawl
1901,2.1141,OR,Non-trawl
1902,2.5895,OR,Non-trawl
1903,3.0648,OR,Non-trawl
1904,3.5402,OR,Non-trawl
1905,4.0158,OR,Non-trawl
1906,4.4911,OR,Non-trawl
1907,4.9665,OR,Non-trawl
1908,5.4421,OR,Non-trawl
1909,5.9175,OR,Non-trawl
1910,6.3928,OR,Non-trawl
1911,6.8682,OR,Non-trawl
1912,7.3438,OR,Non-trawl
1913,7.8192,OR,Non-trawl
1914,8.2945,OR,Non-trawl
1915,8.7699,OR,Non-trawl
1916,9.2455,OR,Non-trawl
1917,9.7209,OR,Non-trawl
1918,10.1962,OR,Non-trawl
1919,10.6718,OR,Non-trawl
1920,11.1472,OR,Non-trawl
1921,11.6225,OR,Non-trawl
1922,12.0979,OR,Non-trawl
1923,12.5735,OR,Non-trawl
1924,13.0489,OR,Non-trawl
1925,13.5242,OR,Non-trawl
1926,13.9998,OR,Non-trawl
1927,14.5173,OR,Non-trawl
1928,24.2266,OR,Non-trawl
1929,38.3329,OR,Non-trawl
1930,32.1485,OR,Non-trawl
1931,26.2383,OR,Non-trawl
1932,9.6629,OR,Non-trawl
1933,14.3311,OR,Non-trawl
1934,16.3369,OR,Non-trawl
1935,15.4165,OR,Non-trawl
1936,33.6599,OR,Non-trawl
1937,33.3641,OR,Non-trawl
1938,30.9974,OR,Non-trawl
1939,9.7627,OR,Non-trawl
1940,36.9471,OR,Non-trawl
1941,61.3055,OR,Non-trawl
1942,87.3496,OR,Non-trawl
1943,235.407,OR,Non-trawl
1944,42.2726,OR,Non-trawl
1945,15.7,OR,Non-trawl
1946,22.9868,OR,Non-trawl
1947,16.5734,OR,Non-trawl
1948,23.7223,OR,Non-trawl
1949,7.9306,OR,Non-trawl
1950,18.987,OR,Non-trawl
1951,13.7231,OR,Non-trawl
1952,6.4363,OR,Non-trawl
1953,5.6777,OR,Non-trawl
1954,8.8269,OR,Non-trawl
1955,6.2984,OR,Non-trawl
1956,5.218,OR,Non-trawl
1957,11.4474,OR,Non-trawl
1958,3.1492,OR,Non-trawl
1959,5.5168,OR,Non-trawl
1960,2.343,OR,Non-trawl
1961,8.735,OR,Non-trawl
1962,10.2981,OR,Non-trawl
1963,6.2294,OR,Non-trawl
1964,14.1481,OR,Non-trawl
1965,3.0113,OR,Non-trawl
1966,2.9193,OR,Non-trawl
1967,7.9304,OR,Non-trawl
1968,5.9076,OR,Non-trawl
1969,21.2167,OR,Non-trawl
1970,3.54,OR,Non-trawl
1971,0.8505,OR,Non-trawl
1972,1.4252,OR,Non-trawl
1973,5.6217,OR,Non-trawl
1974,18.3885,OR,Non-trawl
1975,4.8238,OR,Non-trawl
1976,2.0432,OR,Non-trawl
1977,151.9008,OR,Non-trawl
1978,19.9548,OR,Non-trawl
1979,66.1828,OR,Non-trawl
1980,19.1333,OR,Non-trawl
1981,51.0981,OR,Non-trawl
1982,51.1105,OR,Non-trawl
1983,52.8526,OR,Non-trawl
1984,38.7282,OR,Non-trawl
1985,71.2468,OR,Non-trawl
1986,184.8139,OR,Non-trawl
1987,245.3216,OR,Non-trawl
1988,102.6146,OR,Non-trawl
1989,97.8764,OR,Non-trawl
1990,51.2783,OR,Non-trawl
1991,33.8999,OR,Non-trawl
1992,63.1104,OR,Non-trawl
1993,33.9669,OR,Non-trawl
1994,38.6185,OR,Non-trawl
1995,131.2078,OR,Non-trawl
1996,84.6086,OR,Non-trawl
1997,46.8487,OR,Non-trawl
1998,86.3391,OR,Non-trawl
1999,40.9562,OR,Non-trawl
2000,2.2221,OR,Non-trawl
2001,2.1381,OR,Non-trawl
2002,3.7467,OR,Non-trawl
2003,3.2242,OR,Non-trawl
2004,2.2786,OR,Non-trawl
2005,6.1589,OR,Non-trawl
2006,5.0843,OR,Non-trawl
2007,6.4822,OR,Non-trawl
2008,11.0353,OR,Non-trawl
2009,21.4026,OR,Non-trawl
2010,22.4941,OR,Non-trawl
2011,20.4335,OR,Non-trawl
2012,22.7682,OR,Non-trawl
2013,19.2234,OR,Non-trawl
2014,5.762,OR,Non-trawl
2015,13.5416,OR,Non-trawl
2016,16.0611,OR,Non-trawl
2017,13.0993,OR,Non-trawl
2018,7.4689,OR,Non-trawl
2019,8.3962,OR,Non-trawl
2020,10.5803,OR,Non-trawl
2021,8.5625,OR,Non-trawl
2022,4.307,OR,Non-trawl
2023,5.3645,OR,Non-trawl
2024,1.992177691,OR,Non-trawl
1892,0,WA,Non-trawl
1893,0,WA,Non-trawl
1894,0,WA,Non-trawl
1895,0,WA,Non-trawl
1896,0,WA,Non-trawl
1897,0,WA,Non-trawl
1898,0,WA,Non-trawl
1899,0,WA,Non-trawl
1900,0,WA,Non-trawl
1901,0,WA,Non-trawl
1902,0,WA,Non-trawl
1903,0,WA,Non-trawl
1904,0,WA,Non-trawl
1905,0,WA,Non-trawl
1906,0,WA,Non-trawl
1907,0,WA,Non-trawl
1908,0,WA,Non-trawl
1909,0,WA,Non-trawl
1910,0,WA,Non-trawl
1911,0,WA,Non-trawl
1912,0,WA,Non-trawl
1913,0,WA,Non-trawl
1914,0,WA,Non-trawl
1915,0,WA,Non-trawl
1916,32.61,WA,Non-trawl
1917,34.32,WA,Non-trawl
1918,36.04,WA,Non-trawl
1919,37.76,WA,Non-trawl
1920,39.47,WA,Non-trawl
1921,41.19,WA,Non-trawl
1922,42.9,WA,Non-trawl
1923,44.62,WA,Non-trawl
1924,46.34,WA,Non-trawl
1925,48.05,WA,Non-trawl
1926,49.77,WA,Non-trawl
1927,51.48,WA,Non-trawl
1928,61.19,WA,Non-trawl
1929,75.3,WA,Non-trawl
1930,69.12,WA,Non-trawl
1931,63.21,WA,Non-trawl
1932,46.63,WA,Non-trawl
1933,51.3,WA,Non-trawl
1934,53.3,WA,Non-trawl
1935,52.38,WA,Non-trawl
1936,70.63,WA,Non-trawl
1937,70.33,WA,Non-trawl
1938,57.38,WA,Non-trawl
1939,46.73,WA,Non-trawl
1940,68.98,WA,Non-trawl
1941,85.38,WA,Non-trawl
1942,121.47,WA,Non-trawl
1943,146.25,WA,Non-trawl
1944,61.2,WA,Non-trawl
1945,52.67,WA,Non-trawl
1946,59.95,WA,Non-trawl
1947,53.54,WA,Non-trawl
1948,60.69,WA,Non-trawl
1949,69.02,WA,Non-trawl
1950,45.31,WA,Non-trawl
1951,69.66,WA,Non-trawl
1952,48.64,WA,Non-trawl
1953,20.25,WA,Non-trawl
1954,36.71,WA,Non-trawl
1955,42.17,WA,Non-trawl
1956,15.06,WA,Non-trawl
1957,25.58,WA,Non-trawl
1958,7.45,WA,Non-trawl
1959,18.05,WA,Non-trawl
1960,20.14,WA,Non-trawl
1961,11.05,WA,Non-trawl
1962,12.71,WA,Non-trawl
1963,8.23,WA,Non-trawl
1964,10.73,WA,Non-trawl
1965,8.1,WA,Non-trawl
1966,4.89,WA,Non-trawl
1967,4.18,WA,Non-trawl
1968,2.12,WA,Non-trawl
1969,6.75,WA,Non-trawl
1970,0.27,WA,Non-trawl
1971,0,WA,Non-trawl
1972,0.01,WA,Non-trawl
1973,0.08,WA,Non-trawl
1974,0.6,WA,Non-trawl
1975,2.01,WA,Non-trawl
1976,0,WA,Non-trawl
1977,22.98,WA,Non-trawl
1978,38.7,WA,Non-trawl
1979,41.25,WA,Non-trawl
1980,15.15,WA,Non-trawl
1981,49,WA,Non-trawl
1982,59.49,WA,Non-trawl
1983,72.09,WA,Non-trawl
1984,97.1,WA,Non-trawl
1985,200.35,WA,Non-trawl
1986,217.29,WA,Non-trawl
1987,337.64,WA,Non-trawl
1988,180.89,WA,Non-trawl
1989,160.12,WA,Non-trawl
1990,118.48,WA,Non-trawl
1991,97.61,WA,Non-trawl
1992,165.97,WA,Non-trawl
1993,279.91,WA,Non-trawl
1994,290.4,WA,Non-trawl
1995,277.19,WA,Non-trawl
1996,207.16,WA,Non-trawl
1997,156.04,WA,Non-trawl
1998,159.67,WA,Non-trawl
1999,117.77,WA,Non-trawl
2000,25.58175925,WA,Non-trawl
2001,13.02148873,WA,Non-trawl
2002,23.08495034,WA,Non-trawl
2003,18.30328344,WA,Non-trawl
2004,31.39725056,WA,Non-trawl
2005,40.48515727,WA,Non-trawl
2006,52.07923708,WA,Non-trawl
2007,49.18556814,WA,Non-trawl
2008,43.5137215,WA,Non-trawl
2009,77.20540861,WA,Non-trawl
2010,46.22041023,WA,Non-trawl
2011,40.41256707,WA,Non-trawl
2012,45.4100417,WA,Non-trawl
2013,36.51422442,WA,Non-trawl
2014,28.77383981,WA,Non-trawl
2015,31.80518655,WA,Non-trawl
2016,41.22057117,WA,Non-trawl
2017,45.9215662,WA,Non-trawl
2018,38.88282027,WA,Non-trawl
2019,29.58941068,WA,Non-trawl
2020,12.74236749,WA,Non-trawl
2021,11.71510515,WA,Non-trawl
2022,13.54055457,WA,Non-trawl
2023,8.559313067,WA,Non-trawl
2024,5.408621136,WA,Non-trawl
1975,3.237700819,All,At-sea-hake
1976,0.713523675,All,At-sea-hake
1977,1.217350261,All,At-sea-hake
1978,0.380113968,All,At-sea-hake
1979,0.783793477,All,At-sea-hake
1980,0.192507956,All,At-sea-hake
1981,2.128309703,All,At-sea-hake
1982,0,All,At-sea-hake
1983,1.229417577,All,At-sea-hake
1984,2.280087496,All,At-sea-hake
1985,0.912458922,All,At-sea-hake
1986,1.209438235,All,At-sea-hake
1987,4.226560279,All,At-sea-hake
1988,15.85200938,All,At-sea-hake
1989,0.268051315,All,At-sea-hake
1990,1.018237756,All,At-sea-hake
1991,5.353563658,All,At-sea-hake
1992,10.21033169,All,At-sea-hake
1993,1.718835998,All,At-sea-hake
1994,6.444528444,All,At-sea-hake
1995,3.10901824,All,At-sea-hake
1996,7.97088315,All,At-sea-hake
1997,10.20608103,All,At-sea-hake
1998,17.85478798,All,At-sea-hake
1999,9.233168288,All,At-sea-hake
2000,70.75407376,All,At-sea-hake
2001,20.75254863,All,At-sea-hake
2002,0.728560303,All,At-sea-hake
2003,2.154860581,All,At-sea-hake
2004,13.73279656,All,At-sea-hake
2005,35.91024741,All,At-sea-hake
2006,6.628685744,All,At-sea-hake
2007,29.03920961,All,At-sea-hake
2008,75.64832534,All,At-sea-hake
2009,9.284474893,All,At-sea-hake
2010,21.56924039,All,At-sea-hake
2011,80.88318673,All,At-sea-hake
2012,53.94072958,All,At-sea-hake
2013,17.7909914,All,At-sea-hake
2014,5.577308938,All,At-sea-hake
2015,21.80191522,All,At-sea-hake
2016,29.63392353,All,At-sea-hake
2017,38.14844277,All,At-sea-hake
2018,161.2371635,All,At-sea-hake
2019,125.3655618,All,At-sea-hake
2020,41.88238379,All,At-sea-hake
2021,37.61553227,All,At-sea-hake
2022,65.45526925,All,At-sea-hake
2023,38.49727941,All,At-sea-hake
2024,0,All,At-sea-hake
